
ncdg, loss
0.7725274598063889, 54038.645174031786
0.7713216261898164, 2186815.6590153603
0.76520374911991, 14870104.023243489
0.7614764314132542, 40974386.557505205
0.7606594582726893, 60135242.76197656
0.7613056916281692, 61836270.77378125
0.760214245754945, 152428866.84358335
0.7597791632724465, 270721855.68129164
0.7573937425386997, 985582062.6085
0.7555616161401829, 1558611460.888875
0.7550956745676373, 1433581919.1328332
0.756239177405839, 912111049.1233333
0.7557777684434364, 1454385284.775
0.7554454675136788, 1964703574.748
0.7540979179204955, 6556829066.282666
0.7530369816735297, 9456199921.051
0.753019424377574, 7764377996.189333
0.7533295192040415, 4253562762.1706667
0.7531470785442325, 5893801731.592
0.7530805385320789, 7138035681.637042
0.752467932213522, 23205543866.344
0.7519973424239702, 32094670724.855335
0.7519031339894039, 25032831080.250668
0.7521236640105539, 12724490132.754667
0.7519757082153083, 16339039466.981333
0.7517034103840866, 18752895146.448
0.7512993556741714, 59928449390.88
0.7512022070620255, 81024094581.18533
0.7507755751785932, 61162224604.75733
0.7510150025794026, 29810048788.650665
0.7511733749587104, 36632732282.613335
0.750962175836949, 40627142096.8
0.7506047203013254, 128621986736.61867
0.7506475554837645, 170650827596.184
0.7502763437255769, 126567738892.90666
0.7506358548047907, 59877899844.8
0.7509624887663622, 71489567574.77333
0.7506056646740258, 77707228805.83467
0.7504063865905846, 242953845944.96
0.7501800849793827, 320043662711.18933
0.7498563745504515, 233909117584.384
0.7502507819120935, 108396931718.82666
0.7501279669458466, 126918163699.776
0.7503129220340197, 135463069613.03467
0.7497673215681493, 420240598471.08264
0.7497716012355433, 550382603791.4987
0.7497230218660365, 397305807700.05334
0.7497477908161285, 182744934863.36
0.7497813497616468, 209250479883.648
0.7497862112171464, 220331527867.30667
0.7497100182572736, 681546291794.2614
0.7495488988579078, 887010667713.7173
0.7493714404048558, 633080540163.072
0.7495659893788592, 287415398167.4667
0.7495631093984981, 325029363357.40265
0.7493096770935658, 338832403835.8613
0.7493296355160994, 1045454286759.936
0.7489335301242774, 1354770457800.7146
0.7489110596552272, 962258530209.6213
0.7491703000794296, 431981372125.5253
