score, loss
0.7387161760890865, 28293547251.029335
0.7373887092721165, 210243682304.0
0.7363782068266626, 36486465803.60533
0.7355603300225192, 38090557794.986664
0.7362689764520141, 783323651637.248
0.7371557086437397, 3475385888363.8613
0.7373686738711047, 21768294415466.496
0.7369833065133367, 27952446026285.055
0.7367054518133332, 2819746066770.6025
0.7366269392009321, 1933602150765.9094
0.7365693259337095, 16950874412679.168
0.7369840080799379, 49811215359497.555
0.73700570812353, 181102083492719.28
0.7369683556202582, 196264772609856.84
0.7367626976530659, 18329739303321.6
0.7363044450848563, 11888989882198.7
0.7364687377066014, 87812095288715.95
0.7368399298404471, 229680305367504.22
